trivial_name,fuda_aligned,canonical
baby_a,C[f(H2B)b(H2H2BH2B)l(HBHB[rl(H2B)])],C[b(H2B)f(H2H2BH2B)r(HBHB[rl(H2B)])]
baby_b,C[l(H2B)fbr(HBH2BH2B)],C[f(H2B)brl(HBH2BH2B)]
blokky,C[b(B[r(H)]HH2B[t(B)]B[t(BB[tb(B)]B[t(B[b(H)]B)])])l(H)],C[f(B[r(H)]HH2B[t(B)]B[t(BB[tb(B)]B[t(B[b(H)]B)])])r(H)]
garrix,C[r(H)f(HHH2B[b(HB[b(H2)t(HH2H2B)]H2)]B)],C[b(H)r(HHH2B[b(HB[b(H2)t(HH2H2B)]H2)]B)]
gecko,C[fb(H2B)l(HBHB[rl(H2B)])],C[fb(H2B)r(HBHB[rl(H2B)])]
insect,C[b(HH2B[t(H)b(H2B[r(H2HH2)]H)]H2)],C[r(HH2B[t(H)b(H2B[r(H2HH2)]H)]H2)]
linkin,C[l(H2)b(HHHH2B[t(H2H2HH2H)b(HH)]B)],C[b(H2)r(HHHH2B[t(H2H2HH2H)b(HH)]B)]
longleg,C[f(HHHH2HB[t(H)b(H2H2B[t(H2)b(H2H)])]H)],C[r(HHHH2HB[t(H)b(H2H2B[t(H2)b(H2H)])]H)]
penguin,C[f(B[l(HH2B[t(H)b(H2H2H2B[l(H2HH2B[r(BH)l(H)])]HB)])])],C[r(B[l(HH2B[t(H)b(H2H2H2B[l(H2HH2B[r(BH)l(H)])]HB)])])]
pentapod,C[b(HHHH2B[b(H)]H2B[r(B)l(H2)]HB[rl(H2)])],C[r(HHHH2B[b(H)]H2B[r(B)l(H2)]HB[rl(H2)])]
queen,C[l(H)b(HHH2B[t(B[t(BH2H)]B[tb(H)])b(H)])],C[b(H)r(HHH2B[t(B[t(BH2H)]B[tb(H)])b(H)])]
salamander,C[b(H2)l(HB[l(H2)]B[l(H2)]HB[l(H2B[b(B)]H2H2)]B[l(H2)]B[l(H2)]BHB[l(B)]H)f(HH2)],C[l(H2)f(HB[l(H2)]B[l(H2)]HB[l(H2B[b(B)]H2H2)]B[l(H2)]B[l(H2)]BHB[l(B)]H)r(HH2)]
snake,C[f(H2BH2BH2BH2BH2BH2BH2BH2)],C[r(H2BH2BH2BH2BH2BH2BH2BH2)]
spider,C[4-(HBH2B)],C[4-(HBH2B)]
squarish,C[l(H2B[b(H2B[l(B[r(HB[l(B[l(B)])])]H2)])]H)],C[r(H2B[b(H2B[l(B[r(HB[l(B[l(B)])])]H2)])]H)]
stingray,C[l(H)b(HH2B[t(B)b(H)]B[t(H2)b(HB[b(H2)]HB)]H2)],C[b(H)r(HH2B[t(B)b(H)]B[t(H2)b(HB[b(H2)]HB)]H2)]
tinlicker,C[b(HHHH2B[b(B[b(B[b(B)]HB[t(B[t(H2)])]H2)]H2)])],C[r(HHHH2B[b(B[b(B[b(B)]HB[t(B[t(H2)])]H2)]H2)])]
turtle,C[f(B[r(H2)l(HH2B[b(H2)t(HB[b(H2H2)t(HB[t(H)b(H2H2HH)])]B)]B)])],C[r(B[r(H2)l(HH2B[b(H2)t(HB[b(H2H2)t(HB[t(H)b(H2H2HH)])]B)]B)])]
ww,C[l(H)b(HHH2B[b(HB[t(H)]B[b(H2B[r(HHH2)])])])],C[b(H)r(HHH2B[b(HB[t(H)]B[b(H2B[r(HHH2)])])])]
zappa,C[l(H2)b(HHHH2HB[b(H2B[l(H2B)]H2)]HH)],C[b(H2)r(HHHH2HB[b(H2B[l(H2B)]H2)]HH)]
